orthography	ipa	gloss
ev	ev	house
kız	kɯz	girl
göz	ɟøz	eye
güzel	ɡyzæl	beautiful
kitap	kitap	book
okul	okul	school
adam	adam	man
kadın	kadɯn	woman
çocuk	t͡ʃod͡ʒuk	child
masa	masa	table
sandalye	sandaʎe	chair
pencere	pend͡ʒeɾe	window
kapı	kapɯ	door
köprü	køpɾy	bridge
dünya	dynja	world
hayat	haját	life
insan	insan	human
şehir	ʃehiɾ	city
yol	jol	road
su	su	water
ağaç	aːt͡ʃ	tree
dağ	daː	mountain
deniz	deniz	sea
gökyüzü	ɟøcyzy	sky
yıldız	jɯldɯz	star
ay	aj	moon
güneş	ɡyneʃ	sun
sabah	sabah	morning
akşam	akʃam	evening
gece	ɟed͡ʒe	night
gün	ɡyn	day
yıl	jɯl	year
zaman	zaman	time
sonra	sonɾa	after
önce	ønʤe	before
büyük	byjyk	big
küçük	kyt͡ʃyk	small
uzun	uzun	long
kısa	kɯsa	short
yeni	jeni	new
eski	eski	old
iyi	iji	good
kötü	køty	bad
sıcak	sɯd͡ʒak	hot
soğuk	souk	cold
beyaz	bejaz	white
siyah	sijah	black
kırmızı	kɯɾmɯzɯ	red
mavi	mavi	blue
yeşil	jeʃil	green
sarı	saɾɯ	yellow
